review_correction_id,observation_id,battle_id,field,original_value,reviewed_value,decision_status,reason,reviewer,evidence_reference
rot_2026_09_13_220607_egon_yunkai_retreat_keep__party_02__row_001__deaths,rot_2026_09_13_220607_egon_yunkai_retreat_keep__party_02__row_001,rot_2026_09_13_220607_egon_yunkai_retreat_keep,deaths,null,,unresolved_preserve_null,"Bottom row clipped; only survivors, kills, and upgrade-ready are legible.",separate Phase 2 local analysis agent,e06d0a6d619fe8cf0277c89e76b8a154b90ffadd07aecc45927ef36fa39401b0
rot_2026_09_13_220607_egon_yunkai_retreat_keep__party_02__row_001__wounded,rot_2026_09_13_220607_egon_yunkai_retreat_keep__party_02__row_001,rot_2026_09_13_220607_egon_yunkai_retreat_keep,wounded,null,,unresolved_preserve_null,"Bottom row clipped; only survivors, kills, and upgrade-ready are legible.",separate Phase 2 local analysis agent,e06d0a6d619fe8cf0277c89e76b8a154b90ffadd07aecc45927ef36fa39401b0
rot_2026_09_13_220607_egon_yunkai_retreat_keep__party_02__row_001__routed,rot_2026_09_13_220607_egon_yunkai_retreat_keep__party_02__row_001,rot_2026_09_13_220607_egon_yunkai_retreat_keep,routed,null,,unresolved_preserve_null,"Bottom row clipped; only survivors, kills, and upgrade-ready are legible.",separate Phase 2 local analysis agent,e06d0a6d619fe8cf0277c89e76b8a154b90ffadd07aecc45927ef36fa39401b0
rot_2026_09_13_224912_egon_black_rat_victory_field__party_02__row_001__upgrade_ready,rot_2026_09_13_224912_egon_black_rat_victory_field__party_02__row_001,rot_2026_09_13_224912_egon_black_rat_victory_field,upgrade_ready,null,,unresolved_preserve_null,Party begins at the bottom edge; only survivors and kills are fully reliable.,separate Phase 2 local analysis agent,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194
rot_2026_09_13_224912_egon_black_rat_victory_field__party_02__row_001__deaths,rot_2026_09_13_224912_egon_black_rat_victory_field__party_02__row_001,rot_2026_09_13_224912_egon_black_rat_victory_field,deaths,null,,unresolved_preserve_null,Party begins at the bottom edge; only survivors and kills are fully reliable.,separate Phase 2 local analysis agent,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194
rot_2026_09_13_224912_egon_black_rat_victory_field__party_02__row_001__wounded,rot_2026_09_13_224912_egon_black_rat_victory_field__party_02__row_001,rot_2026_09_13_224912_egon_black_rat_victory_field,wounded,null,,unresolved_preserve_null,Party begins at the bottom edge; only survivors and kills are fully reliable.,separate Phase 2 local analysis agent,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194
rot_2026_09_13_224912_egon_black_rat_victory_field__party_02__row_001__routed,rot_2026_09_13_224912_egon_black_rat_victory_field__party_02__row_001,rot_2026_09_13_224912_egon_black_rat_victory_field,routed,null,,unresolved_preserve_null,Party begins at the bottom edge; only survivors and kills are fully reliable.,separate Phase 2 local analysis agent,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194
rot_2026_09_14_205747_egon_bortu_victory_field__party_01__row_016__survivors,rot_2026_09_14_205747_egon_bortu_victory_field__party_01__row_016,rot_2026_09_14_205747_egon_bortu_victory_field,survivors,null,,unresolved_preserve_null,Name is visible at the bottom edge; numeric cells are clipped.,separate Phase 2 local analysis agent,019c57686a412e9260cd907130e5448f5962af6e60c586c4ceb5e7113ad871f3|a2d34662d79de241e4af9124dd70e0b10b3fd9ca77e9345fc8771480d50f36d6
rot_2026_09_14_205747_egon_bortu_victory_field__party_01__row_016__kills,rot_2026_09_14_205747_egon_bortu_victory_field__party_01__row_016,rot_2026_09_14_205747_egon_bortu_victory_field,kills,null,,unresolved_preserve_null,Name is visible at the bottom edge; numeric cells are clipped.,separate Phase 2 local analysis agent,019c57686a412e9260cd907130e5448f5962af6e60c586c4ceb5e7113ad871f3|a2d34662d79de241e4af9124dd70e0b10b3fd9ca77e9345fc8771480d50f36d6
rot_2026_09_14_205747_egon_bortu_victory_field__party_01__row_016__upgrade_ready,rot_2026_09_14_205747_egon_bortu_victory_field__party_01__row_016,rot_2026_09_14_205747_egon_bortu_victory_field,upgrade_ready,null,,unresolved_preserve_null,Name is visible at the bottom edge; numeric cells are clipped.,separate Phase 2 local analysis agent,019c57686a412e9260cd907130e5448f5962af6e60c586c4ceb5e7113ad871f3|a2d34662d79de241e4af9124dd70e0b10b3fd9ca77e9345fc8771480d50f36d6
rot_2026_09_14_205747_egon_bortu_victory_field__party_01__row_016__deaths,rot_2026_09_14_205747_egon_bortu_victory_field__party_01__row_016,rot_2026_09_14_205747_egon_bortu_victory_field,deaths,null,,unresolved_preserve_null,Name is visible at the bottom edge; numeric cells are clipped.,separate Phase 2 local analysis agent,019c57686a412e9260cd907130e5448f5962af6e60c586c4ceb5e7113ad871f3|a2d34662d79de241e4af9124dd70e0b10b3fd9ca77e9345fc8771480d50f36d6
